"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","643","standard user cart count remains consistent after navigating away and returning to products page","ui-chrome","2026-05-16","passed","2026-05-16","Product Page - Cart Persistence","ui/module/product-page.generated.spec.ts","",""
"","499","problem user can remove an item from the cart","ui-chrome","2026-05-16","passed","2026-05-16","Cart Page > Problem User","ui/module/cart-page.generated.spec.ts","",""
"","992","user proceeds from checkout step 1 to step 2 with valid form data","ui-chrome","2026-05-16","passed","2026-05-16","Checkout > Standard User","ui/module/checkout-page.generated.spec.ts","",""
"","566","standard user removes a single product from cart and cart count decrements by 1","ui-chrome","2026-05-16","passed","2026-05-16","Product Page - Remove from Cart","ui/module/product-page.generated.spec.ts","",""
"","540","standard user clicks a product name and is redirected to the product detail page","ui-chrome","2026-05-16","passed","2026-05-16","Product Page - Product Navigation","ui/module/product-page.generated.spec.ts","",""
"","574","user removes a single item from the cart","ui-chrome","2026-05-16","passed","2026-05-16","Cart Page > Standard User","ui/module/cart-page.generated.spec.ts","",""
"","1100","user completes full order for multiple items each added from individual product detail pages","ui-chrome","2026-05-16","passed","2026-05-16","Order Placement","ui/e2e/order-placement.generated.spec.ts","",""
"","504","problem user is navigated to the Products page when Continue Shopping is clicked","ui-chrome","2026-05-16","passed","2026-05-16","Cart Page > Problem User","ui/module/cart-page.generated.spec.ts","",""
"","557","standard user clicks cart icon with one item and navigates to cart page showing that item","ui-chrome","2026-05-16","passed","2026-05-16","Product Page - Cart Navigation","ui/module/product-page.generated.spec.ts","",""
"","530","problem user is navigated to the Checkout page when Checkout is clicked","ui-chrome","2026-05-16","passed","2026-05-16","Cart Page > Problem User","ui/module/cart-page.generated.spec.ts","",""
"","622","standard user adds multiple products to cart and cart count matches items added","ui-chrome","2026-05-16","passed","2026-05-16","Product Page - Add to Cart","ui/module/product-page.generated.spec.ts","",""
"","461","user sees validation error when username field is submitted empty","ui-chrome","2026-05-16","passed","2026-05-16","Login","ui/module/login.generated.spec.ts","",""
"","1036","user completes full order for a single item added from the product listing page","ui-chrome","2026-05-16","passed","2026-05-16","Order Placement","ui/e2e/order-placement.generated.spec.ts","",""
"","635","user is navigated to the Checkout page when Checkout is clicked with items in cart","ui-chrome","2026-05-16","passed","2026-05-16","Cart Page > Standard User","ui/module/cart-page.generated.spec.ts","",""
"","518","user sees error when correct username but wrong password is entered","ui-chrome","2026-05-16","passed","2026-05-16","Login","ui/module/login.generated.spec.ts","",""
"","801","checkout step 2 order total is correct when multiple items are added","ui-chrome","2026-05-16","passed","2026-05-16","Checkout > Standard User","ui/module/checkout-page.generated.spec.ts","",""
"","449","problem user clicking a product link sees an incorrect image on the detail page","ui-chrome","2026-05-16","passed","2026-05-16","Product Page - Problem User Defects","ui/module/product-page.generated.spec.ts","",""
"","742","user sees thank you confirmation message after completing purchase","ui-chrome","2026-05-16","passed","2026-05-16","Checkout > Standard User","ui/module/checkout-page.generated.spec.ts","",""
"","617","standard user clicks cart icon with multiple items and navigates to cart page showing all items","ui-chrome","2026-05-16","passed","2026-05-16","Product Page - Cart Navigation","ui/module/product-page.generated.spec.ts","",""
"","732","standard user adds a single product to cart and cart count increments to 1","ui-chrome","2026-05-16","passed","2026-05-16","Product Page - Add to Cart","ui/module/product-page.generated.spec.ts","",""
"","574","problem user cannot complete checkout because last name field rejects input","ui-chrome","2026-05-16","passed","2026-05-16","Checkout > Problem User","ui/module/checkout-page.generated.spec.ts","",""
"","640","user can click Checkout with an empty cart","ui-chrome","2026-05-16","passed","2026-05-16","Cart Page > Standard User","ui/module/cart-page.generated.spec.ts","",""
"","642","standard user removes multiple products from cart and count reduces after each removal","ui-chrome","2026-05-16","passed","2026-05-16","Product Page - Remove from Cart","ui/module/product-page.generated.spec.ts","",""
"","459","user sees validation error when both fields are empty on login attempt","ui-chrome","2026-05-16","passed","2026-05-16","Login","ui/module/login.generated.spec.ts","",""
"","913","user completes full order for a single item added from the product detail page","ui-chrome","2026-05-16","passed","2026-05-16","Order Placement","ui/e2e/order-placement.generated.spec.ts","",""
"","770","standard user logs in and lands on product catalog page","ui-chrome","2026-05-16","passed","2026-05-16","Login","ui/module/login.generated.spec.ts","",""
"","763","user sees correct details for a single item added from the Products page","ui-chrome","2026-05-16","passed","2026-05-16","Cart Page > Standard User","ui/module/cart-page.generated.spec.ts","",""
"","1004","user completes full order for multiple items all added from the product listing page","ui-chrome","2026-05-16","passed","2026-05-16","Order Placement","ui/e2e/order-placement.generated.spec.ts","",""
"","506","user sees error when non-existent username is entered with valid password","ui-chrome","2026-05-16","passed","2026-05-16","Login","ui/module/login.generated.spec.ts","",""
"","487","problem user remove button does not reduce the cart quantity","ui-chrome","2026-05-16","passed","2026-05-16","Product Page - Problem User Defects","ui/module/product-page.generated.spec.ts","",""
"","767","user sees correct details for multiple items added from the Products page","ui-chrome","2026-05-16","passed","2026-05-16","Cart Page > Standard User","ui/module/cart-page.generated.spec.ts","",""
"","663","Continue button shows postal code required error when zip code is missing","ui-chrome","2026-05-16","passed","2026-05-16","Checkout > Standard User","ui/module/checkout-page.generated.spec.ts","",""
"","618","Continue button shows first name required error when all fields are left empty","ui-chrome","2026-05-16","passed","2026-05-16","Checkout > Standard User","ui/module/checkout-page.generated.spec.ts","",""
"","499","user sees validation error when password field is submitted empty","ui-chrome","2026-05-16","passed","2026-05-16","Login","ui/module/login.generated.spec.ts","",""
"","662","Continue button shows last name required error when last name is missing","ui-chrome","2026-05-16","passed","2026-05-16","Checkout > Standard User","ui/module/checkout-page.generated.spec.ts","",""
"","506","standard user clicks cart icon with 0 items and navigates to empty cart page","ui-chrome","2026-05-16","passed","2026-05-16","Product Page - Cart Navigation","ui/module/product-page.generated.spec.ts","",""
"","523","locked user sees lockout error message on login attempt","ui-chrome","2026-05-16","passed","2026-05-16","Login","ui/module/login.generated.spec.ts","",""
"","776","cart items persist after navigating to the Products page and returning to cart","ui-chrome","2026-05-16","passed","2026-05-16","Cart Page > Standard User","ui/module/cart-page.generated.spec.ts","",""
"","769","user removes all items from the cart one by one and cart becomes empty","ui-chrome","2026-05-16","passed","2026-05-16","Cart Page > Standard User","ui/module/cart-page.generated.spec.ts","",""
"","722","user is navigated to the Products page when Continue Shopping is clicked","ui-chrome","2026-05-16","passed","2026-05-16","Cart Page > Standard User","ui/module/cart-page.generated.spec.ts","",""
"","381","problem user sees all product images as the same image across all listings","ui-chrome","2026-05-16","passed","2026-05-16","Product Page - Problem User Defects","ui/module/product-page.generated.spec.ts","",""
"","750","checkout step 2 displays correct items and accurate order total including tax","ui-chrome","2026-05-16","passed","2026-05-16","Checkout > Standard User","ui/module/checkout-page.generated.spec.ts","",""
"","655","standard user removes all products from cart and cart badge disappears","ui-chrome","2026-05-16","passed","2026-05-16","Product Page - Remove from Cart","ui/module/product-page.generated.spec.ts","",""
