"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Booking API","2","0","Get Booking","0"
"0","","0","Checkout","3","0","Checkout Step 1 - Form Validation","0"
"0","","0","Booking API","3","0","Delete Booking","0"
"0","","0","Cart Page","3","0","Remove Cart Items","0"
"0","","0","Cart Page","4","0","Display Cart Items","0"
"0","","0","Product Page","3","0","Cart Navigation","0"
"0","","0","Product Page","2","0","Add to Cart","0"
"0","","0","Booking API","3","0","Update Booking","0"
"0","","0","Login","3","0","Form Validation","0"
"0","","0","Product Page","3","0","Problem User Defects","0"
"0","","0","Checkout","1","0","Checkout Step 1 - Information","0"
"0","","0","Product Page","1","0","Cart Persistence","0"
"0","","0","Checkout","2","0","Checkout Step 2 - Overview","0"
"0","","0","Cart Page","2","0","Continue Shopping Navigation","0"
"0","","0","Product Page","3","0","Remove from Cart","0"
"0","","0","Booking API","3","0","List Bookings","0"
"0","","0","Login","2","0","Authentication Failure","0"
"0","","0","Booking API","2","0","Create Booking","0"
"0","","0","Cart Page","3","0","Checkout Navigation","0"
"0","","0","Product Page","1","0","Product Navigation","0"
"0","","0","Checkout","1","0","Checkout Step 1 - Problem User Behaviour","0"
"0","","0","Login","1","0","Account Lockout","0"
"0","","0","Booking API Authentication","3","0","Generate Token","0"
"0","","0","Checkout","1","0","Checkout Complete","0"
"0","","0","Login","1","0","Successful Authentication","0"
