"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46","Verify API response contains 200 status, valid schema and all fields match created booking when requested with a valid booking ID","api","2026-05-17","passed","2026-05-17","GET /booking/:id","api/booking/booking-getById.spec.ts","",""
"","681","Verify user sees postal code required error when Continue is clicked with zip code field left empty","ui-chrome","2026-05-17","passed","2026-05-17","Checkout > Standard User","ui/module/checkout-page.generated.spec.ts","",""
"","49","Verify API response contains 201 status when requested with a valid cookie token and an existing booking ID","api","2026-05-17","passed","2026-05-17","DELETE /booking/:id","api/booking/booking-delete.spec.ts","",""
"","588","Verify user sees cart empty and badge hidden when a single item is removed from the cart","ui-chrome","2026-05-17","passed","2026-05-17","Cart Page > Standard User","ui/module/cart-page.generated.spec.ts","",""
"","748","Verify user sees correct name, description, price and quantity when a single item is added from the Products page","ui-chrome","2026-05-17","passed","2026-05-17","Cart Page > Standard User","ui/module/cart-page.generated.spec.ts","",""
"","657","Verify user sees all added items on the cart page when the cart icon is clicked with multiple items in cart","ui-chrome","2026-05-17","passed","2026-05-17","Product Page - Cart Navigation","ui/module/product-page.generated.spec.ts","",""
"","735","Verify user sees cart count increment to 1 when a single product is added to cart","ui-chrome","2026-05-17","passed","2026-05-17","Product Page - Add to Cart","ui/module/product-page.generated.spec.ts","",""
"","513","Verify user sees an empty cart page when the cart icon is clicked with no items added","ui-chrome","2026-05-17","passed","2026-05-17","Product Page - Cart Navigation","ui/module/product-page.generated.spec.ts","",""
"","37","Verify API response contains 403 status when requested without any auth credentials","api","2026-05-17","passed","2026-05-17","PUT /booking/:id","api/booking/booking-update.spec.ts","",""
"","505","Verify user sees username required error when login is submitted with the username field empty","ui-chrome","2026-05-17","passed","2026-05-17","Login","ui/module/login.generated.spec.ts","",""
"","514","Verify user sees cart count unchanged when the remove button is clicked as problem user","ui-chrome","2026-05-17","passed","2026-05-17","Product Page - Problem User Defects","ui/module/product-page.generated.spec.ts","",""
"","29","Verify API response contains 404 status and Not Found body when requested with a non-existent booking ID","api","2026-05-17","passed","2026-05-17","GET /booking/:id","api/booking/booking-getById.spec.ts","",""
"","34","Verify API response contains 403 status when requested without any auth credentials","api","2026-05-17","passed","2026-05-17","DELETE /booking/:id","api/booking/booking-delete.spec.ts","",""
"","55","Verify API response contains 200 status, valid schema and all updated fields in response when requested with a valid cookie token","api","2026-05-17","passed","2026-05-17","PUT /booking/:id","api/booking/booking-update.spec.ts","",""
"","886","Verify user proceeds to checkout step 2 when valid first name, last name and zip code are entered","ui-chrome","2026-05-17","passed","2026-05-17","Checkout > Standard User","ui/module/checkout-page.generated.spec.ts","",""
"","480","Verify problem user sees cart empty and badge hidden when an item is removed from the cart","ui-chrome","2026-05-17","passed","2026-05-17","Cart Page > Problem User","ui/module/cart-page.generated.spec.ts","",""
"","691","Verify user sees cart count remain consistent when navigating away from cart and returning to the products page","ui-chrome","2026-05-17","passed","2026-05-17","Product Page - Cart Persistence","ui/module/product-page.generated.spec.ts","",""
"","733","Verify user sees correct item and accurate order total including tax on checkout step 2 when a single item is added","ui-chrome","2026-05-17","passed","2026-05-17","Checkout > Standard User","ui/module/checkout-page.generated.spec.ts","",""
"","601","Verify user is navigated to the Products page when Continue Shopping is clicked from an empty cart","ui-chrome","2026-05-17","passed","2026-05-17","Cart Page > Standard User","ui/module/cart-page.generated.spec.ts","",""
"","634","Verify user sees cart count decrement by 1 when a single product is removed from cart","ui-chrome","2026-05-17","passed","2026-05-17","Product Page - Remove from Cart","ui/module/product-page.generated.spec.ts","",""
"","26","Verify API response contains 200 status and an empty array when requested with a firstname filter that matches no bookings","api","2026-05-17","passed","2026-05-17","GET /booking","api/booking/booking-list.spec.ts","",""
"","40","Verify API response contains 200 status and at least one result when requested with a firstname filter matching a created booking","api","2026-05-17","passed","2026-05-17","GET /booking","api/booking/booking-list.spec.ts","",""
"","571","Verify user sees credentials mismatch error when a valid username and an incorrect password are entered","ui-chrome","2026-05-17","passed","2026-05-17","Login","ui/module/login.generated.spec.ts","",""
"","36","Verify API response contains 200 status, valid schema, booking ID and all fields match payload when requested with a complete booking payload","api","2026-05-17","passed","2026-05-17","POST /booking","api/booking/booking-create.spec.ts","",""
"","561","Verify user is navigated to the Checkout page when Checkout is clicked with an empty cart","ui-chrome","2026-05-17","passed","2026-05-17","Cart Page > Standard User","ui/module/cart-page.generated.spec.ts","",""
"","730","Verify user sees correct details for all items when multiple products are added from the Products page","ui-chrome","2026-05-17","passed","2026-05-17","Cart Page > Standard User","ui/module/cart-page.generated.spec.ts","",""
"","541","Verify user is redirected to the product detail page when a product name is clicked","ui-chrome","2026-05-17","passed","2026-05-17","Product Page - Product Navigation","ui/module/product-page.generated.spec.ts","",""
"","738","Verify user sees cart badge disappear when all products are removed from cart","ui-chrome","2026-05-17","passed","2026-05-17","Product Page - Remove from Cart","ui/module/product-page.generated.spec.ts","",""
"","581","Verify problem user sees correct item details on the cart page when an item is added from the Products page","ui-chrome","2026-05-17","passed","2026-05-17","Cart Page > Problem User","ui/module/cart-page.generated.spec.ts","",""
"","624","Verify user sees first name required error when Continue is clicked with all checkout form fields empty","ui-chrome","2026-05-17","passed","2026-05-17","Checkout > Standard User","ui/module/checkout-page.generated.spec.ts","",""
"","732","Verify user sees cart become empty and badge hidden when all items are removed one by one","ui-chrome","2026-05-17","passed","2026-05-17","Cart Page > Standard User","ui/module/cart-page.generated.spec.ts","",""
"","575","Verify problem user sees last name required error on checkout when the last name field rejects typed input","ui-chrome","2026-05-17","passed","2026-05-17","Checkout > Problem User","ui/module/checkout-page.generated.spec.ts","",""
"","570","Verify user sees account locked error when login is attempted with a locked out account","ui-chrome","2026-05-17","passed","2026-05-17","Login","ui/module/login.generated.spec.ts","",""
"","34","Verify API response contains error reason when requested with empty username and password","api","2026-05-17","passed","2026-05-17","POST /auth","api/booking/booking-auth.spec.ts","",""
"","819","Verify user sees correct subtotal, tax and grand total on checkout step 2 when multiple items are added to cart","ui-chrome","2026-05-17","passed","2026-05-17","Checkout > Standard User","ui/module/checkout-page.generated.spec.ts","",""
"","40","Verify API response contains Bad credentials reason when requested with wrong username and password","api","2026-05-17","passed","2026-05-17","POST /auth","api/booking/booking-auth.spec.ts","",""
"","44","Verify API response contains 200 status and all updated fields when requested using Basic Auth instead of cookie token","api","2026-05-17","passed","2026-05-17","PUT /booking/:id","api/booking/booking-update.spec.ts","",""
"","680","Verify user sees last name required error when Continue is clicked with last name field left empty","ui-chrome","2026-05-17","passed","2026-05-17","Checkout > Standard User","ui/module/checkout-page.generated.spec.ts","",""
"","483","Verify user sees username required error when login is submitted with both username and password fields empty","ui-chrome","2026-05-17","passed","2026-05-17","Login","ui/module/login.generated.spec.ts","",""
"","580","Verify user is navigated to the Checkout page when Checkout is clicked with items in cart","ui-chrome","2026-05-17","passed","2026-05-17","Cart Page > Standard User","ui/module/cart-page.generated.spec.ts","",""
"","378","Verify user sees all product listing images as the same image when browsing as problem user","ui-chrome","2026-05-17","passed","2026-05-17","Product Page - Problem User Defects","ui/module/product-page.generated.spec.ts","",""
"","464","Verify problem user is navigated to the Products page when Continue Shopping is clicked from the cart","ui-chrome","2026-05-17","passed","2026-05-17","Cart Page > Problem User","ui/module/cart-page.generated.spec.ts","",""
"","157","Verify API response contains a valid non-empty token when requested with correct credentials","api","2026-05-17","passed","2026-05-17","POST /auth","api/booking/booking-auth.spec.ts","",""
"","740","Verify user sees thank you confirmation message when the full checkout flow is completed with a valid order","ui-chrome","2026-05-17","passed","2026-05-17","Checkout > Standard User","ui/module/checkout-page.generated.spec.ts","",""
"","806","Verify user sees cart count reduce after each removal when multiple products are removed one by one","ui-chrome","2026-05-17","passed","2026-05-17","Product Page - Remove from Cart","ui/module/product-page.generated.spec.ts","",""
"","61","Verify API response contains 404 status on GET when requested for a previously deleted booking","api","2026-05-17","passed","2026-05-17","DELETE /booking/:id","api/booking/booking-delete.spec.ts","",""
"","59","Verify API response contains 200 status, valid schema and a list of booking IDs when requested without filters","api","2026-05-17","passed","2026-05-17","GET /booking","api/booking/booking-list.spec.ts","",""
"","680","Verify user sees cart count match the number of items when multiple products are added to cart","ui-chrome","2026-05-17","passed","2026-05-17","Product Page - Add to Cart","ui/module/product-page.generated.spec.ts","",""
"","27","Verify API response contains 500 status and non-empty error body when requested with an empty body","api","2026-05-17","passed","2026-05-17","POST /booking","api/booking/booking-create.spec.ts","",""
"","722","Verify user sees previously added items still in cart when returning after navigating to the Products page","ui-chrome","2026-05-17","passed","2026-05-17","Cart Page > Standard User","ui/module/cart-page.generated.spec.ts","",""
"","505","Verify user sees password required error when login is submitted with the password field empty","ui-chrome","2026-05-17","passed","2026-05-17","Login","ui/module/login.generated.spec.ts","",""
"","451","Verify user sees a different incorrect image on the detail page when a product link is clicked as problem user","ui-chrome","2026-05-17","passed","2026-05-17","Product Page - Problem User Defects","ui/module/product-page.generated.spec.ts","",""
"","561","Verify user sees the added item on the cart page when the cart icon is clicked with one item in cart","ui-chrome","2026-05-17","passed","2026-05-17","Product Page - Cart Navigation","ui/module/product-page.generated.spec.ts","",""
"","487","Verify problem user is navigated to the Checkout page when Checkout is clicked with an item in cart","ui-chrome","2026-05-17","passed","2026-05-17","Cart Page > Problem User","ui/module/cart-page.generated.spec.ts","",""
"","777","Verify user lands on the product catalog page when valid username and password are entered","ui-chrome","2026-05-17","passed","2026-05-17","Login","ui/module/login.generated.spec.ts","",""
"","547","Verify user sees credentials mismatch error when a non-existent username is entered with a valid password","ui-chrome","2026-05-17","passed","2026-05-17","Login","ui/module/login.generated.spec.ts","",""
