"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Checkout","1","0","Checkout Step 1 - Information","0"
"0","","0","Product Page","1","0","Product Navigation","0"
"0","","0","Login","1","0","Successful Authentication","0"
"0","","0","Cart Page","1","0","Remove Cart Items","0"
"0","","0","Cart Page","1","0","Checkout Navigation","0"
"0","","0","Product Page","2","0","Cart Navigation","0"
"0","","0","Checkout","1","0","Checkout Complete","0"
"0","","0","Cart Page","1","0","Display Cart Items","0"
"0","","0","Product Page","1","0","Add to Cart","0"
"0","","0","Checkout","1","0","Checkout Step 2 - Overview","0"
"0","","0","Cart Page","1","0","Continue Shopping Navigation","0"
