"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","597","Verify user sees cart empty and badge hidden when a single item is removed from the cart","ui-chrome","2026-05-17","passed","2026-05-17","Cart Page > Standard User","ui/module/cart-page.generated.spec.ts","",""
"","569","Verify user is navigated to the Products page when Continue Shopping is clicked from an empty cart","ui-chrome","2026-05-17","passed","2026-05-17","Cart Page > Standard User","ui/module/cart-page.generated.spec.ts","",""
"","911","Verify user proceeds to checkout step 2 when valid first name, last name and zip code are entered","ui-chrome","2026-05-17","passed","2026-05-17","Checkout > Standard User","ui/module/checkout-page.generated.spec.ts","",""
"","549","Verify user sees the added item on the cart page when the cart icon is clicked with one item in cart","ui-chrome","2026-05-17","passed","2026-05-17","Product Page - Cart Navigation","ui/module/product-page.generated.spec.ts","",""
"","538","Verify user is redirected to the product detail page when a product name is clicked","ui-chrome","2026-05-17","passed","2026-05-17","Product Page - Product Navigation","ui/module/product-page.generated.spec.ts","",""
"","563","Verify user is navigated to the Checkout page when Checkout is clicked with items in cart","ui-chrome","2026-05-17","passed","2026-05-17","Cart Page > Standard User","ui/module/cart-page.generated.spec.ts","",""
"","766","Verify user lands on the product catalog page when valid username and password are entered","ui-chrome","2026-05-17","passed","2026-05-17","Login","ui/module/login.generated.spec.ts","",""
"","746","Verify user sees correct name, description, price and quantity when a single item is added from the Products page","ui-chrome","2026-05-17","passed","2026-05-17","Cart Page > Standard User","ui/module/cart-page.generated.spec.ts","",""
"","735","Verify user sees correct item and accurate order total including tax on checkout step 2 when a single item is added","ui-chrome","2026-05-17","passed","2026-05-17","Checkout > Standard User","ui/module/checkout-page.generated.spec.ts","",""
"","511","Verify user sees an empty cart page when the cart icon is clicked with no items added","ui-chrome","2026-05-17","passed","2026-05-17","Product Page - Cart Navigation","ui/module/product-page.generated.spec.ts","",""
"","759","Verify user sees thank you confirmation message when the full checkout flow is completed with a valid order","ui-chrome","2026-05-17","passed","2026-05-17","Checkout > Standard User","ui/module/checkout-page.generated.spec.ts","",""
"","722","Verify user sees cart count increment to 1 when a single product is added to cart","ui-chrome","2026-05-17","passed","2026-05-17","Product Page - Add to Cart","ui/module/product-page.generated.spec.ts","",""
